2020-04-16 19:34:06,238 : 'w'
2020-04-16 19:34:06,722 : 'w'
2020-04-16 19:34:06,753 : 'w'
2020-04-16 19:34:06,785 : 'w'
2020-04-16 19:34:06,816 : 'w'
2020-04-16 19:34:06,847 : 'w'
2020-04-16 19:34:06,863 : 'w'
2020-04-16 19:34:06,894 : 'w'
2020-04-16 19:34:06,925 : 'w'
2020-04-16 19:34:06,956 : 'w'
2020-04-16 19:34:06,988 : 'w'
2020-04-16 19:34:07,019 : 'w'
2020-04-16 19:34:07,055 : 'w'
2020-04-16 19:34:07,085 : 'w'
2020-04-16 19:34:07,115 : 'w'
2020-04-16 19:34:07,135 : 'a'
2020-04-16 19:34:07,618 : 'a'
2020-04-16 19:34:07,649 : 'a'
2020-04-16 19:34:07,680 : 'a'
2020-04-16 19:34:07,712 : 'a'
2020-04-16 19:34:07,743 : 'a'
2020-04-16 19:34:07,758 : 'a'
2020-04-16 19:34:07,803 : 'a'
2020-04-16 19:34:07,823 : 'a'
2020-04-16 19:34:07,854 : 'a'
2020-04-16 19:34:07,885 : 'a'
2020-04-16 19:34:07,917 : 'a'
2020-04-16 19:34:07,970 : 's'
2020-04-16 19:34:08,448 : 's'
2020-04-16 19:34:08,479 : 's'
2020-04-16 19:34:08,510 : 's'
2020-04-16 19:34:08,541 : 's'
2020-04-16 19:34:08,573 : 's'
2020-04-16 19:34:08,604 : 's'
2020-04-16 19:34:08,627 : 's'
2020-04-16 19:34:08,659 : 's'
2020-04-16 19:34:08,690 : 's'
2020-04-16 19:34:08,721 : 's'
2020-04-16 19:34:08,752 : 's'
2020-04-16 19:34:08,799 : 'd'
2020-04-16 19:34:09,279 : 'd'
2020-04-16 19:34:09,311 : 'd'
2020-04-16 19:34:09,342 : 'd'
2020-04-16 19:34:09,373 : 'd'
2020-04-16 19:34:09,404 : 'd'
2020-04-16 19:34:09,436 : 'd'
2020-04-16 19:34:09,467 : 'd'
2020-04-16 19:34:09,498 : 'd'
2020-04-16 19:34:09,514 : 'd'
2020-04-16 19:34:09,545 : 'd'
2020-04-16 19:34:09,576 : 'd'
2020-04-16 19:34:09,607 : 'd'
2020-04-16 19:34:09,654 : 'w'
2020-04-16 19:34:10,152 : 'w'
2020-04-16 19:34:10,182 : 'w'
2020-04-16 19:34:10,212 : 'w'
2020-04-16 19:34:10,240 : 'w'
2020-04-16 19:34:10,270 : 'w'
2020-04-16 19:34:10,297 : 'w'
2020-04-16 19:34:10,328 : 'w'
2020-04-16 19:34:10,359 : 'w'
2020-04-16 19:34:10,389 : 'w'
2020-04-16 19:34:10,404 : 'w'
2020-04-16 19:34:10,436 : 'w'
2020-04-16 19:34:10,467 : 'w'
2020-04-16 19:34:10,498 : 'a'
2020-04-16 19:34:10,982 : 'a'
2020-04-16 19:34:11,014 : 'a'
2020-04-16 19:34:11,050 : 'a'
2020-04-16 19:34:11,080 : 'a'
2020-04-16 19:34:11,109 : 'a'
2020-04-16 19:34:11,126 : 'a'
2020-04-16 19:34:11,157 : 'a'
2020-04-16 19:34:11,188 : 'a'
2020-04-16 19:34:11,344 : 's'
2020-04-16 19:34:11,829 : 's'
2020-04-16 19:34:11,860 : 's'
2020-04-16 19:34:11,891 : 's'
2020-04-16 19:34:11,922 : 's'
2020-04-16 19:34:11,954 : 's'
2020-04-16 19:34:11,985 : 's'
2020-04-16 19:34:12,016 : 's'
2020-04-16 19:34:12,046 : 's'
2020-04-16 19:34:12,142 : 'd'
2020-04-16 19:34:12,635 : 'd'
2020-04-16 19:34:12,666 : 'd'
2020-04-16 19:34:12,698 : 'd'
2020-04-16 19:34:12,729 : 'd'
2020-04-16 19:34:12,744 : 'd'
